Feature,Importance
policy_tenure,725
age_of_policyholder,527
age_of_car,460
population_density,300
area_cluster,296
model,77
engine_type,63
max_torque,60
gross_weight,56
height,49
ncap_rating,35
max_power,31
make,30
segment,27
displacement,24
width,21
length,19
turning_radius,15
cylinder,13
is_esc,8
is_parking_camera,6
is_brake_assist,6
is_adjustable_steering,6
fuel_type,5
airbags,5
is_driver_seat_height_adjustable,4
transmission_type,3
steering_type,3
is_front_fog_lights,3
is_rear_window_wiper,2
is_day_night_rear_view_mirror,2
is_rear_window_defogger,1
is_speed_alert,1
rear_brakes_type,1
gear_box,0
is_parking_sensors,0
is_tpms,0
is_rear_window_washer,0
is_power_steering,0
is_central_locking,0
is_power_door_locks,0
is_ecw,0
